author_id,sentiment,YM,model
816273673162289152,0,02/2018,ALL
500193966,0,02/2018,ALL
80822351,0,02/2018,ALL
23479042,1,02/2018,ALL
952163521,0,02/2018,ALL
48616766,0,02/2018,ALL
226915226,1,02/2018,ALL
262586536,1,02/2018,ALL
3378714135,1,02/2018,ALL
250543278,0,02/2018,ALL
413585596,0,02/2018,ALL
4360440253,0,02/2018,ALL
2509935019,0,02/2018,ALL
823815489814020096,1,02/2018,ALL
108651269,1,02/2018,ALL
108651269,1,02/2018,ALL
546313843,0,02/2018,ALL
108651269,0,02/2018,ALL
1381545078,1,02/2018,ALL
721590650563461120,1,02/2018,ALL
79177260,0,02/2018,ALL
297653310,0,02/2018,ALL
919997827136106502,1,02/2018,ALL
3815139737,1,02/2018,ALL
553153875,0,02/2018,ALL
274391930,0,02/2018,ALL
33400255,1,02/2018,ALL
20998868,0,02/2018,ALL
1118765467,0,02/2018,ALL
884374051,0,02/2018,ALL
296711362,1,02/2018,ALL
846985319748644864,0,02/2018,ALL
297397741,1,02/2018,ALL
129457357,0,02/2018,ALL
87775422,0,02/2018,ALL
1849613586,0,02/2018,ALL
3676660281,1,02/2018,ALL
61541177,0,02/2018,ALL
38872768,0,02/2018,ALL
121378193,1,02/2018,ALL
763203213801639936,0,02/2018,ALL
374966809,1,02/2018,ALL
172626968,1,02/2018,ALL
919905708417658880,1,02/2018,ALL
958640975496273922,1,02/2018,ALL
123662382,0,02/2018,ALL
3599428343,1,02/2018,ALL
524956623,0,02/2018,ALL
297397741,0,02/2018,ALL
2462150372,1,02/2018,ALL
847036940289544192,1,02/2018,ALL
217136608,0,02/2018,ALL
3151822850,0,02/2018,ALL
15327418,0,02/2018,ALL
30218099,1,02/2018,ALL
856695702071558146,0,02/2018,ALL
63029743,1,02/2018,ALL
14658751,0,02/2018,ALL
1229675046,0,02/2018,ALL
155285969,0,02/2018,ALL
1934406164,0,02/2018,ALL
3686863950,0,02/2018,ALL
919997827136106502,0,02/2018,ALL
916111409062088704,0,02/2018,ALL
1573107234,1,02/2018,ALL
87434953,0,02/2018,ALL
4342861399,1,02/2018,ALL
915367373380624384,1,02/2018,ALL
347191988,0,02/2018,ALL
906158079628029952,0,02/2018,ALL
27079486,0,02/2018,ALL
243933100,0,02/2018,ALL
138526255,0,02/2018,ALL
1001929386,1,02/2018,ALL
14353415,1,02/2018,ALL
68506521,0,02/2018,ALL
707307657271574528,1,02/2018,ALL
714188557980553216,0,02/2018,ALL
707307657271574528,0,02/2018,ALL
2441568883,1,02/2018,ALL
3301949803,1,02/2018,ALL
23430560,1,02/2018,ALL
2354450749,0,02/2018,ALL
919997827136106502,0,02/2018,ALL
289616919,0,02/2018,ALL
32274781,0,02/2018,ALL
1611641905,1,02/2018,ALL
774153127134048260,0,02/2018,ALL
